,Overall rank,Country or region,Score|Happiness score,GDP per capita|Explained by: GDP ,Social support|Explained by: Social support,Healthy life expectancy|Explained by: Healthy life expectancy,Freedom to make life choices|Explained by: Freedom to make life choices,Generosity|Explained by: Generosity,Perceptions of corruption|Explained by: Perceptions of corruption
74,75,Belarus,5.54,1.0190000000000001,1.3869999999999998,0.753,0.29100000000000004,0.09,0.19399999999999998
75,76,North Cyprus,5.5360000000000005,1.213,1.183,1.026,0.478,0.19899999999999998,0.2
76,77,Greece,5.515,1.128,1.169,0.9790000000000001,0.174,0.0,0.049
77,78,Hong Kong,5.51,1.3769999999999998,1.244,1.137,0.45899999999999996,0.28800000000000003,0.332
78,79,Croatia,5.505,1.109,1.311,0.9009999999999999,0.381,0.114,0.012
79,80,Libya,5.489,1.022,1.196,0.616,0.451,0.14300000000000002,0.172
80,81,Mongolia,5.456,0.905,1.459,0.616,0.35600000000000004,0.264,0.047
81,82,Malaysia,5.3839999999999995,1.168,1.1740000000000002,0.789,0.597,0.275,0.062
82,83,Vietnam,5.353,0.718,1.253,0.8190000000000001,0.6509999999999999,0.136,0.09
83,84,Indonesia,5.2860000000000005,0.892,1.155,0.61,0.568,0.5429999999999999,0.038
84,85,Ivory Coast,5.233,0.537,0.8,0.155,0.397,0.17,0.09300000000000001
85,86,Benin,5.216,0.366,0.35200000000000004,0.32799999999999996,0.406,0.19699999999999998,0.126
86,87,Maldives,5.1979999999999995,0.938,1.402,0.914,0.5479999999999999,0.22399999999999998,0.07200000000000001
87,88,Congo (Brazzaville),5.194,0.634,0.758,0.45799999999999996,0.387,0.11699999999999999,0.11900000000000001
88,89,Azerbaijan,5.165,0.99,1.181,0.731,0.46799999999999997,0.04,0.247
